id,export_to_citi
l10n_ar.dc_a_f,True
l10n_ar.dc_a_nd,True
l10n_ar.dc_a_nc,True
l10n_ar.dc_a_r,True
l10n_ar.dc_a_nvc,True
l10n_ar.dc_b_f,True
l10n_ar.dc_b_nd,True
l10n_ar.dc_b_nc,True
l10n_ar.dc_b_r,True
l10n_ar.dc_b_nvc,True
l10n_ar.dc_c_f,True
l10n_ar.dc_c_nd,True
l10n_ar.dc_c_nc,True
l10n_ar.dc_aduana,False
l10n_ar.dc_c_r,True
l10n_ar.dc_c_nvc,True
l10n_ar.dc_e_f,True
l10n_ar.dc_e_nd,True
l10n_ar.dc_e_nc,True
l10n_ar.dc_e_fs,True
l10n_ar.dc_usados,True
l10n_ar.dc_mandato,False
l10n_ar.dc_reciclado,True
l10n_ar.dc_a_rg1415,True
l10n_ar.dc_b_rg1415,True
l10n_ar.dc_c_rg1415,True
l10n_ar.dc_nd_rg1415,True
l10n_ar.dc_nc_rg1415,True
l10n_ar.dc_a_o_rg1415,True
l10n_ar.dc_b_o_rg1415,True
l10n_ar.dc_c_o_rg1415,True
l10n_ar.dc_a_rf,True
l10n_ar.dc_m_f,True
l10n_ar.dc_m_nd,True
l10n_ar.dc_m_nc,True
l10n_ar.dc_m_r,True
l10n_ar.dc_m_nvc,True
l10n_ar.dc_m_rg1415,True
l10n_ar.dc_m_o_rg1415,True
l10n_ar.dc_m_cvl,True
l10n_ar.dc_m_l,True
l10n_ar.dc_a_cvl,True
l10n_ar.dc_b_cvl,True
l10n_ar.dc_a_l,True
l10n_ar.dc_b_l,True
l10n_ar.dc_nc,False
l10n_ar.dc_desp_imp,True
l10n_ar.dc_imp_serv,False
l10n_ar.dc_c_l,True
l10n_ar.dc_rfc,True
l10n_ar.dc_cfcp,False
l10n_ar.dc_f1116,False
l10n_ar.dc_cptag,False
l10n_ar.dc_cptfg,False
l10n_ar.dc_zeta,False
l10n_ar.dc_a_t,True
l10n_ar.dc_b_t,True
l10n_ar.dc_t,True
l10n_ar.dc_sp_c,False
l10n_ar.dc_sp_nc,False
l10n_ar.dc_sp_nd,False
l10n_ar.dc_oc_se,False
l10n_ar.dc_oc_c,False
l10n_ar.dc_oc_nd,False
l10n_ar.dc_oc_nc,True
l10n_ar.dc_r_r,False
l10n_ar.dc_ac_inc_df,False
l10n_ar.dc_ac_dis_df,False
l10n_ar.dc_ac_inc_cf,False
l10n_ar.dc_ac_dis_cf,False
l10n_ar.dc_f1116b,False
l10n_ar.dc_f1116c,False
l10n_ar.dc_oc_ncrg3419,True
l10n_ar.dc_aa_dj_pos,False
l10n_ar.dc_aa_dj_neg,False
l10n_ar.dc_na,False
l10n_ar.dc_nca,False
l10n_ar.dc_remito_x,False
l10n_ar.fa_exterior,False
l10n_ar.nc_exterior,False
l10n_ar.dc_liq_s_a,True
l10n_ar.dc_liq_s_b,True
l10n_ar.dc_com_a_m,True
l10n_ar.dc_con_a_m,True
l10n_ar.dc_com_b_m,True
l10n_ar.dc_con_b_m,True
l10n_ar.dc_liq_uci_a,True
l10n_ar.dc_liq_uci_b,True
l10n_ar.dc_liq_uci_c,False
l10n_ar.dc_liq_prim_gr,True
l10n_ar.dc_nc_liq_uci_a,True
l10n_ar.dc_nc_liq_uci_b,False
l10n_ar.dc_nd_liq_uci_a,True
l10n_ar.dc_nd_liq_uci_b,True
l10n_ar.dc_nd_liq_uci_c,False
l10n_ar.dc_nc_liq_uci_c,True
l10n_ar.dc_bs_no_reg,True
l10n_ar.dc_t_nc,True
l10n_ar.dc_t_c,True
l10n_ar.dc_t_nc_a,True
l10n_ar.dc_t_nc_b,True
l10n_ar.dc_t_nc_c,True
l10n_ar.dc_t_nd_a,True
l10n_ar.dc_t_nd_b,True
l10n_ar.dc_t_nd_c,True
l10n_ar.dc_t_m,True
l10n_ar.dc_t_nc_m,True
l10n_ar.dc_t_nd_m,True
l10n_ar.dc_liq_sec_gr,True
l10n_ar.dc_cert_ele_gr,True
l10n_ar.dc_fce_a_f,True
l10n_ar.dc_fce_a_nd,True
l10n_ar.dc_fce_a_nc,True
l10n_ar.dc_fce_b_f,True
l10n_ar.dc_fce_b_nd,True
l10n_ar.dc_fce_b_nc,True
l10n_ar.dc_fce_c_f,True
l10n_ar.dc_fce_c_nd,True
l10n_ar.dc_fce_c_nc,True
